country,location_name,latitude,longitude,temperature_fahrenheit,cloud,precip_mm,air_quality,moon_illumination,visibility_km,visibility_miles
Bulgaria,Sofia,42.68,23.32,59.0,0,0.0,5.3,8,10.0,6.0
Burkina Faso,Ouagadougou,12.37,-1.52,80.6,25,0.0,21.8,8,10.0,6.0
Burundi,Bujumbura,-3.38,29.36,66.8,5,0.0,34.4,8,10.0,6.0
Madagascar,Ivory,-24.37,46.45,69.4,33,0.0,4.6,8,10.0,6.0
Cape Verde,Praia,14.93,-23.51,77.0,25,0.0,4.3,8,10.0,6.0
Cambodia,Phnom Penh,11.55,104.92,78.8,50,0.0,138.2,8,9.0,5.0
Cameroon,Bafoussam,5.47,10.42,62.2,100,0.05,18.0,8,10.0,6.0
Canada,Ottawa,45.42,-75.7,68.0,75,0.0,0.5,8,24.0,14.0
Central African Republic,Bangui,4.37,18.58,77.0,25,0.0,0.5,8,8.0,4.0
Chad,N'djamena,12.11,15.05,78.8,0,0.0,11.2,8,7.0,4.0
Chile,Santiago,-33.45,-70.67,55.4,100,0.01,84.5,8,10.0,6.0
China,Beijing,39.93,116.39,62.6,0,0.0,14.4,8,10.0,6.0
Bulgaria,Bogot,43.32,24.7,61.7,0,0.0,4.5,8,10.0,6.0
Comoros,Moroni,-11.7,43.24,74.7,19,0.0,2.8,8,10.0,6.0
Congo,Brazzaville,-4.26,15.28,80.6,50,0.0,28.6,8,8.0,4.0
Costa Rica,San Juan,9.97,-84.08,75.2,75,0.37,7.0,8,10.0,6.0
Croatia,Zagreb,45.8,16.0,69.8,0,0.0,8.5,8,10.0,6.0
Cuba,Havana,23.13,-82.36,82.4,50,0.0,9.8,8,9.0,5.0
Cyprus,Nicosia,35.17,33.37,73.4,0,0.0,15.0,8,10.0,6.0
Czech Republic,Prague,50.08,14.47,64.4,0,0.0,12.5,8,10.0,6.0
Democratic Republic of Congo,Kinshasa,-4.3,15.3,80.6,50,0.0,28.6,8,8.0,4.0
Denmark,Copenhagen,55.67,12.58,64.4,25,0.04,9.2,8,10.0,6.0
Djibouti,Djibouti,11.6,43.15,93.2,50,0.0,64.2,8,8.0,4.0
Dominica,Roseau,15.3,-61.4,84.2,25,0.08,1.2,8,10.0,6.0
Dominican Republic,Santo Domingo,18.47,-69.9,87.8,50,0.0,11.9,8,10.0,6.0
Ecuador,Quito,-0.22,-78.5,62.6,73,0.15,29.7,8,10.0,6.0
Egypt,Cairo,30.05,31.25,78.8,0,0.0,20.8,8,10.0,6.0
El Salvador,San Salvador,13.71,-89.2,84.2,25,0.08,7.5,8,10.0,6.0
Equatorial Guinea,Malabo,3.75,8.78,78.8,25,0.0,2.4,8,10.0,6.0
Eritrea,Asmara,15.33,38.93,65.9,2,0.0,29.0,8,10.0,6.0
Estonia,Tallinn,59.43,24.73,44.6,0,0.0,2.8,8,10.0,6.0
Swaziland,Mbabane,-26.32,31.13,52.9,4,0.0,10.6,8,10.0,6.0
Ethiopia,Addis Ababa,9.03,38.7,59.0,75,0.0,70.9,8,10.0,6.0
Fiji Islands,Suva,-18.13,178.42,80.6,75,0.23,6.5,8,10.0,6.0
Finland,Helsinki,60.18,24.93,42.8,25,0.0,3.5,8,10.0,6.0
France,Paris,48.87,2.33,60.8,0,0.0,1.9,8,10.0,6.0
Gabon,Libreville,0.38,9.45,80.6,50,0.0,7.4,8,10.0,6.0
Gambia,Banjul,13.45,-16.58,77.0,75,0.0,9.5,8,10.0,6.0
Georgia,Tbilisi,41.73,44.79,59.0,100,0.09,5.4,8,5.0,3.0
Germany,Berlin,52.52,13.4,64.4,0,0.0,16.5,8,10.0,6.0
Ghana,Accra,5.55,-0.22,78.8,50,0.0,7.1,8,10.0,6.0
Greece,Athens,37.98,23.72,71.6,25,0.0,2.8,8,10.0,6.0
Grenada,Saint George's,12.05,-61.75,86.0,25,0.0,1.1,8,10.0,6.0
Guatemala,Guatemala City,14.62,-90.53,71.6,50,0.35,2.4,8,6.0,3.0
Guinea,Conakry,9.51,-13.71,80.6,50,0.0,1.1,8,10.0,6.0
Guinea-Bissau,Bissau,11.85,-15.58,78.8,25,0.0,5.9,8,9.0,5.0
Guyana,Georgetown,6.8,-58.17,86.0,25,0.0,3.1,8,10.0,6.0
Haiti,Port-Au-Prince,18.54,-72.34,91.4,37,0.0,24.7,8,10.0,6.0
Vatican City,Vatican City,41.9,12.45,73.4,0,0.0,22.3,8,10.0,6.0
Honduras,Tegucigalpa,14.1,-87.22,87.8,25,0.0,0.7,8,10.0,6.0
Hungary,Budapest,47.5,19.08,73.4,75,0.0,5.8,8,10.0,6.0
Iceland,Hella,63.83,-20.4,48.5,100,0.0,0.5,8,10.0,6.0
India,New Delhi,28.6,77.2,82.4,50,0.0,106.5,8,3.2,1.0
Indonesia,Jakarta,-6.21,106.85,80.6,50,0.0,879.3,8,4.0,2.0
Iran,Tehran,35.73,51.33,68.0,0,0.0,30.2,8,10.0,6.0
Iraq,Baghdad,33.34,44.39,84.2,0,0.0,30.5,8,10.0,6.0
Ireland,Dublin,53.33,-6.25,51.8,75,0.0,1.5,8,10.0,6.0
Israel,Jerusalem,31.78,35.23,77.0,0,0.0,27.7,8,10.0,6.0
Italy,Rome,41.9,12.48,73.4,0,0.0,22.3,8,10.0,6.0
Jamaica,Norman Gardens,17.97,-76.75,87.8,25,0.0,23.3,8,10.0,6.0
Japan,Tokyo,35.69,139.69,84.2,25,0.0,29.3,8,10.0,6.0
Jordan,Amman,31.95,35.93,71.6,0,0.0,22.7,8,8.0,4.0
Kazakhstan,Astana,51.18,71.43,44.6,25,0.0,5.9,8,10.0,6.0
Kenya,Nairobi,-1.28,36.82,66.2,75,0.0,15.8,8,10.0,6.0
Kiribati,Tarawa,-0.88,169.53,84.5,80,0.03,0.9,8,10.0,6.0
Kuwait,Kuwait City,29.37,47.96,92.5,0,0.0,44.9,8,10.0,6.0
Kyrghyzstan,Bishkek,42.87,74.6,59.1,5,0.0,11.3,8,10.0,6.0
Indonesia,Laos,-8.18,114.32,66.4,83,0.06,14.2,8,10.0,6.0
Latvia,Riga,56.95,24.1,59.0,0,0.0,2.9,8,10.0,6.0
Lebanon,Beirut,33.87,35.51,78.8,75,0.0,25.8,8,8.0,4.0
Lesotho,Maseru,-29.32,27.48,51.4,0,0.0,41.1,8,10.0,6.0
Liberia,Monrovia,6.31,-10.8,77.0,75,0.39,1.2,8,10.0,6.0
Liechtenstein,Vaduz,47.13,9.52,59.0,75,2.03,2.9,8,10.0,6.0
Lithuania,Vilnius,54.68,25.32,64.4,0,0.11,7.6,8,10.0,6.0
Luxembourg,Luxembourg,49.61,6.13,59.0,75,0.0,1.0,8,10.0,6.0
Madagascar,Antananarivo,-18.92,47.52,53.6,25,0.0,5.3,8,10.0,6.0
Malawi,Lilongwe,-13.98,33.78,71.7,5,0.0,7.1,8,10.0,6.0
Malaysia,Kuala Lumpur,3.17,101.7,77.0,25,0.0,115.1,8,10.0,6.0
Maldives,Farukolhufunadhoo,6.15,73.27,77.9,98,0.15,0.5,8,10.0,6.0
Mali,Bamako,12.65,-8.0,77.0,25,0.0,11.7,8,10.0,6.0
Malta,Valletta,35.9,14.51,75.2,0,0.0,6.1,8,10.0,6.0
Marshall Islands,Majuro,7.1,171.38,86.0,100,1.57,0.5,8,24.0,14.0
Mauritania,Nouakchott,18.09,-15.98,81.8,11,0.0,24.9,8,10.0,6.0
Mauritius,Port Louis,-20.16,57.5,71.6,50,0.01,7.1,8,10.0,6.0
Mexico,Mexico City,19.43,-99.13,62.6,100,0.0,11.7,8,9.7,6.0
Micronesia,Palikir,6.92,158.15,84.2,100,12.01,0.5,8,24.0,14.0
Russia,Chi-Chi-Erh,51.7,94.45,46.2,13,0.0,1.7,8,10.0,6.0
Monaco,Monaco,43.73,7.42,71.6,25,0.0,12.1,8,10.0,6.0
Mongolia,Ulaanbaatar,47.92,106.92,32.0,0,0.01,4.6,8,10.0,6.0
Montenegro,Podgorica,42.44,19.26,75.2,0,0.0,10.9,8,10.0,6.0
Morocco,Rabat,34.03,-6.84,64.4,50,0.0,2.9,8,6.0,3.0
Mozambique,Maputo,-25.97,32.59,66.2,0,0.0,5.0,8,10.0,6.0
Myanmar,Pathein,16.78,94.73,75.9,81,1.13,4.1,8,10.0,6.0
Namibia,Windhoek,-22.57,17.08,66.2,0,0.0,42.4,8,10.0,6.0
Turkey,Yaren,39.55,27.62,66.2,0,0.0,3.0,8,10.0,6.0
Nepal,Kathmandu,27.72,85.32,69.8,25,0.0,134.5,8,8.0,4.0
Netherlands,Amsterdam,52.37,4.89,59.0,25,0.0,3.8,8,10.0,6.0
New Zealand,Wellington,-41.3,174.78,59.0,50,0.0,3.5,8,10.0,6.0
Nicaragua,Managua,12.15,-86.27,80.6,50,0.0,2.1,8,10.0,6.0
Niger,Niamey,13.52,2.12,82.4,0,0.0,26.2,8,9.0,5.0
Nigeria,Abuja,9.18,7.18,71.9,58,0.05,13.2,8,10.0,6.0
North Korea,Pyongyang,39.02,125.75,66.7,18,0.0,49.8,8,10.0,6.0
Macedonia,Skopje,42.0,21.43,62.6,0,0.0,12.0,8,10.0,6.0
Norway,Oslo,59.92,10.75,57.2,75,0.23,0.9,8,2.0,1.0
Oman,Muscat,23.61,58.59,86.0,0,0.0,32.7,8,10.0,6.0
Pakistan,Islamabad,33.7,73.17,74.9,27,0.0,111.2,8,10.0,6.0
Palau,Adkip,7.36,134.51,78.8,75,0.65,1.0,8,21.0,13.0
Bolivia,National,-11.18,-67.08,88.4,84,0.02,0.5,8,10.0,6.0
Panama,Panama City,8.97,-79.53,84.2,50,0.07,1.9,8,10.0,6.0
Papua New Guinea,Port Moresby,-9.46,147.19,78.8,25,0.0,20.0,8,10.0,6.0
Paraguay,Carreria,-21.55,-58.12,96.7,12,0.0,9.4,8,10.0,6.0
Peru,Lima,-12.05,-77.05,67.3,66,0.0,11.3,8,10.0,6.0
Philippines,Manila,14.6,120.98,80.6,25,0.0,44.8,8,10.0,6.0
Poland,Warsaw,52.25,21.0,62.6,0,0.0,9.4,8,10.0,6.0
Portugal,Lisbon,38.72,-9.13,66.2,0,0.0,5.6,8,10.0,6.0
Qatar,Doha,25.29,51.53,89.6,0,0.0,37.2,8,10.0,6.0
Romania,Bucharest,44.43,26.1,66.2,0,0.0,8.7,8,10.0,6.0
Russia,Moscow,55.75,37.62,50.0,0,0.0,8.8,8,10.0,6.0
Rwanda,Kigali,-1.95,30.06,64.4,50,0.0,27.1,8,10.0,6.0
Saint Kitts and Nevis,Basseterre,17.3,-62.72,84.2,25,0.0,1.0,8,10.0,6.0
Saint Lucia,Castries,14.0,-61.0,86.0,25,0.0,1.7,8,10.0,6.0
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,84.8,7,0.0,0.5,8,10.0,6.0
Samoa,Apia,-13.83,-171.73,82.4,75,0.05,6.7,8,10.0,6.0
San Marino,San Marino,43.93,12.45,73.4,0,0.0,19.8,8,10.0,6.0
Belgium,'S-Gravenwezel,51.27,4.55,60.8,0,0.0,2.9,8,10.0,6.0
Saudi Arabia,Riyadh,24.64,46.77,86.0,0,0.0,57.8,8,10.0,6.0
Senegal,Dakar,14.67,-17.44,80.6,75,0.0,9.9,8,10.0,6.0
Serbia,Belgrade,44.8,20.47,73.4,0,0.17,5.1,8,10.0,6.0
Seychelles Islands,Victoria,-4.62,55.45,80.6,50,0.0,6.8,8,10.0,6.0
Sierra Leone,Freetown,8.49,-13.23,80.6,75,0.56,1.2,8,10.0,6.0
Singapore,Singapore,1.29,103.86,80.6,75,0.0,10.5,8,10.0,6.0
Slovakia,Bratislava,48.15,17.12,73.4,0,0.27,15.1,8,10.0,6.0
Slovenia,Ljubljana,46.06,14.51,64.4,75,0.0,9.8,8,7.0,4.0
Solomon Islands,Honiara,-9.43,159.95,86.0,25,0.0,1.7,8,10.0,6.0
Somalia,Mogadishu,2.07,45.37,77.2,16,0.0,7.4,8,10.0,6.0
South Africa,Pretoria,-25.75,28.19,60.8,0,0.0,7.8,8,10.0,6.0
South Korea,Seoul,37.57,127.0,71.6,75,0.0,55.4,8,10.0,6.0
Sudan,Juba,12.15,24.45,75.9,25,0.0,3.0,8,10.0,6.0
Spain,Madrid,40.4,-3.68,59.0,0,0.0,3.1,8,10.0,6.0
Sri Lanka,Colombo,6.93,79.85,77.0,25,0.04,1.3,8,10.0,6.0
Sudan,Khartoum,15.59,32.53,91.7,8,0.0,31.1,8,10.0,6.0
Suriname,Paramaribo,5.83,-55.17,78.8,50,2.22,3.3,8,8.0,4.0
Sweden,Stockholm,59.33,18.05,60.8,100,0.0,1.3,8,10.0,6.0
Switzerland,Bern,46.92,7.47,59.0,75,0.01,0.8,8,5.0,3.0
Syria,Damascus,33.5,36.3,71.6,0,0.0,30.7,8,10.0,6.0
Tajikistan,Dushanbe,38.56,68.77,62.6,0,0.0,17.1,8,10.0,6.0
Tanzania,Dodoma,-6.18,35.75,69.3,3,0.0,2.0,8,10.0,6.0
Thailand,Bangkok,13.75,100.52,78.8,25,0.56,314.5,8,10.0,6.0
Timor-Leste,Dili,-8.56,125.57,76.8,0,0.0,3.2,8,10.0,6.0
Bulgaria,Lom,43.81,23.24,62.9,8,0.0,6.6,8,10.0,6.0
Tonga,Nuku`Aloia,-21.13,-175.2,73.4,75,0.01,4.4,8,10.0,6.0
Trinidad and Tobago,Port Of Spain,10.65,-61.52,86.0,25,0.0,2.0,8,10.0,6.0
Tunisia,Tunis,36.8,10.18,78.8,50,0.0,38.8,8,8.0,4.0
Turkey,Ankara,39.93,32.86,62.6,0,0.0,9.0,8,10.0,6.0
Turkmenistan,Ashgabat,37.95,58.38,69.8,75,0.0,12.5,8,10.0,6.0
Tuvalu,Funafuti,-8.52,179.22,87.8,75,0.3,1.8,8,10.0,6.0
Uganda,Kampala,0.32,32.57,66.6,70,0.19,8.6,8,5.0,3.0
Ukraine,Kyiv,50.43,30.52,62.2,3,0.0,11.5,8,10.0,6.0
United Arab Emirates,Abu Dhabi,24.47,54.37,91.4,0,0.0,56.1,8,10.0,6.0
United Kingdom,London,51.52,-0.11,53.6,0,0.0,2.0,8,10.0,6.0
United States of America,Washington Park,46.6,-120.49,75.0,0,0.0,0.6,8,16.0,9.0
Uruguay,Montevideo,-34.86,-56.17,53.6,75,0.0,2.9,8,10.0,6.0
Uzbekistan,Tashkent,41.32,69.25,66.2,0,0.0,15.6,8,10.0,6.0
Vanuatu,Port Vila,-17.73,168.32,78.8,75,0.01,7.3,8,10.0,6.0
Venezuela,Caracas,10.5,-66.92,87.8,0,0.45,18.9,8,9.0,5.0
Vietnam,Hanoi,21.03,105.85,78.8,50,0.0,102.8,8,4.5,2.0
Yemen,Sanaa,15.35,44.21,66.6,9,0.0,37.1,8,10.0,6.0
Zambia,Lusaka,-15.42,28.28,70.9,1,0.0,7.4,8,10.0,6.0
Zimbabwe,Harare,-17.82,31.04,62.8,3,0.0,7.7,8,10.0,6.0
Afghanistan,Kabul,34.52,69.18,64.3,2,0.0,30.8,14,10.0,6.0
Albania,Tirana,41.33,19.82,68.0,0,0.0,28.2,14,10.0,6.0
Algeria,Algiers,36.76,3.05,71.6,75,0.0,12.8,14,10.0,6.0
Andorra,Andorra La Vella,42.5,1.52,43.7,47,0.0,1.8,14,10.0,6.0
Angola,Luanda,-8.84,13.23,73.4,25,0.0,11.1,14,8.0,4.0
Antigua and Barbuda,Saint John's,17.12,-61.85,86.0,50,0.0,0.8,14,10.0,6.0
Argentina,Buenos Aires,-34.59,-58.67,59.0,75,0.0,3.3,14,10.0,6.0
Armenia,Yerevan,40.18,44.51,62.6,0,0.0,0.5,14,10.0,6.0
Australia,Canberra,-35.28,149.22,62.6,0,0.0,7.6,14,10.0,6.0
Austria,Vienna,48.2,16.37,62.6,0,0.0,4.1,14,10.0,6.0
Azerbaijan,Baku,40.4,49.88,66.2,25,0.0,5.3,14,10.0,6.0
Bahamas,Nassau,25.08,-77.35,87.8,75,0.0,2.8,14,10.0,6.0
Bahrain,Manama,26.24,50.58,87.8,0,0.0,28.9,14,10.0,6.0
Bangladesh,Dhaka,23.72,90.41,77.3,55,0.0,12.6,14,10.0,6.0
Barbados,Bridgetown,13.1,-59.62,84.7,59,0.01,1.3,14,10.0,6.0
Belarus,Minsk,53.9,27.57,64.4,0,0.0,4.3,14,10.0,6.0
Belgium,Brussels,50.83,4.33,64.4,75,0.0,2.2,14,10.0,6.0
Belize,Belmopan,17.25,-88.77,89.6,25,0.0,5.2,14,10.0,6.0
Benin,Porto-Novo,6.48,2.62,78.8,50,0.0,11.9,14,10.0,6.0
Bhutan,Thimphu,27.48,89.6,50.9,63,0.0,7.0,14,2.0,1.0
Bolivia,Sucre,-19.04,-65.26,59.2,71,2.07,1.9,14,9.0,5.0
Bosnia and Herzegovina,Sarajevo,43.85,18.38,62.6,50,0.0,6.2,14,10.0,6.0
Botswana,Gaborone,-24.65,25.91,64.4,50,0.0,35.5,14,10.0,6.0
Brazil,Bras,-2.08,-58.17,89.5,14,0.0,4.8,14,10.0,6.0
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,77.0,75,0.0,4.1,14,8.0,4.0
Bulgaria,Sofia,42.68,23.32,62.6,100,0.05,8.3,14,6.0,3.0
Burkina Faso,Ouagadougou,12.37,-1.52,86.0,0,0.1,214.6,14,10.0,6.0
Burundi,Bujumbura,-3.38,29.36,63.1,85,0.07,39.7,14,10.0,6.0
Madagascar,Ivory,-24.37,46.45,72.0,4,0.0,1.0,14,10.0,6.0
Cape Verde,Praia,14.93,-23.51,80.6,25,0.19,11.0,14,10.0,6.0
Cambodia,Phnom Penh,11.55,104.92,77.0,50,0.0,48.0,14,9.0,5.0
Cameroon,Bafoussam,5.47,10.42,62.3,54,0.0,52.7,14,2.0,1.0
Canada,Ottawa,45.42,-75.7,64.4,75,0.0,0.5,14,24.0,14.0
Central African Republic,Bangui,4.37,18.58,78.8,25,0.02,0.5,14,6.0,3.0
Chad,N'djamena,12.11,15.05,80.6,25,0.0,34.6,14,8.0,4.0
Chile,Santiago,-33.45,-70.67,66.2,0,0.0,256.9,14,10.0,6.0
China,Beijing,39.93,116.39,57.2,0,0.0,40.1,14,10.0,6.0
Bulgaria,Bogot,43.32,24.7,62.1,78,0.01,5.7,14,10.0,6.0
Comoros,Moroni,-11.7,43.24,70.4,31,0.0,2.3,14,10.0,6.0
Congo,Brazzaville,-4.26,15.28,80.6,0,1.46,11.6,14,7.0,4.0
Costa Rica,San Juan,9.97,-84.08,69.8,75,1.78,7.8,14,3.0,1.0
Croatia,Zagreb,45.8,16.0,60.8,0,0.0,8.0,14,10.0,6.0
Cuba,Havana,23.13,-82.36,89.6,50,0.0,4.3,14,9.0,5.0
Cyprus,Nicosia,35.17,33.37,73.4,0,0.0,18.6,14,10.0,6.0
Czech Republic,Prague,50.08,14.47,57.2,0,0.0,2.7,14,10.0,6.0
Democratic Republic of Congo,Kinshasa,-4.3,15.3,80.6,0,1.32,11.6,14,7.0,4.0
Denmark,Copenhagen,55.67,12.58,62.6,100,0.01,1.7,14,10.0,6.0
Djibouti,Djibouti,11.6,43.15,98.6,50,0.0,60.1,14,7.0,4.0
Dominica,Roseau,15.3,-61.4,87.8,25,0.13,0.8,14,10.0,6.0
Dominican Republic,Santo Domingo,18.47,-69.9,87.8,75,0.0,10.6,14,10.0,6.0
Ecuador,Quito,-0.22,-78.5,63.2,74,0.06,14.1,14,10.0,6.0
Egypt,Cairo,30.05,31.25,78.8,0,0.0,16.4,14,6.0,3.0
El Salvador,San Salvador,13.71,-89.2,86.0,25,0.03,10.1,14,10.0,6.0
Equatorial Guinea,Malabo,3.75,8.78,77.0,75,0.0,2.1,14,10.0,6.0
Eritrea,Asmara,15.33,38.93,65.3,25,0.0,29.3,14,10.0,6.0
Estonia,Tallinn,59.43,24.73,57.2,50,0.01,0.5,14,10.0,6.0
Swaziland,Mbabane,-26.32,31.13,61.3,16,0.0,76.8,14,10.0,6.0
Ethiopia,Addis Ababa,9.03,38.7,57.2,50,0.0,73.0,14,10.0,6.0
Fiji Islands,Suva,-18.13,178.42,80.6,75,0.05,4.3,14,10.0,6.0
Finland,Helsinki,60.18,24.93,57.2,0,0.02,0.8,14,10.0,6.0
France,Paris,48.87,2.33,68.0,75,0.0,2.8,14,10.0,6.0
Gabon,Libreville,0.38,9.45,80.6,50,0.08,5.5,14,10.0,6.0
Gambia,Banjul,13.45,-16.58,75.2,75,1.0,14.2,14,9.0,5.0
Georgia,Tbilisi,41.73,44.79,59.0,25,0.02,5.9,14,10.0,6.0
Germany,Berlin,52.52,13.4,60.8,0,0.0,1.1,14,10.0,6.0
Ghana,Accra,5.55,-0.22,78.8,75,0.39,6.9,14,10.0,6.0
Greece,Athens,37.98,23.72,75.2,0,0.0,4.7,14,10.0,6.0
Grenada,Saint George's,12.05,-61.75,86.0,25,0.0,0.9,14,10.0,6.0
Guatemala,Guatemala City,14.62,-90.53,77.0,25,0.06,2.7,14,10.0,6.0
Guinea,Conakry,9.51,-13.71,78.8,75,0.3,0.8,14,10.0,6.0
Guinea-Bissau,Bissau,11.85,-15.58,77.0,75,1.29,4.1,14,6.0,3.0
Guyana,Georgetown,6.8,-58.17,86.0,25,0.0,1.6,14,10.0,6.0
Haiti,Port-Au-Prince,18.54,-72.34,91.4,37,0.0,19.6,14,9.0,5.0
Vatican City,Vatican City,41.9,12.45,73.4,0,0.0,16.3,14,10.0,6.0
Honduras,Tegucigalpa,14.1,-87.22,87.8,37,0.0,0.5,14,10.0,6.0
Hungary,Budapest,47.5,19.08,59.0,0,0.0,2.6,14,10.0,6.0
Iceland,Hella,63.83,-20.4,46.6,50,0.0,0.5,14,10.0,6.0
India,New Delhi,28.6,77.2,86.7,29,0.0,83.9,14,10.0,6.0
Indonesia,Jakarta,-6.21,106.85,78.8,25,0.0,908.5,14,7.0,4.0
Iran,Tehran,35.73,51.33,68.0,0,0.0,45.5,14,10.0,6.0
Iraq,Baghdad,33.34,44.39,89.1,0,0.0,15.5,14,10.0,6.0
Ireland,Dublin,53.33,-6.25,62.6,75,0.06,1.8,14,10.0,6.0
Israel,Jerusalem,31.78,35.23,77.0,25,0.0,18.7,14,10.0,6.0
Italy,Rome,41.9,12.48,71.6,0,0.0,16.3,14,10.0,6.0
Jamaica,Norman Gardens,17.97,-76.75,89.6,25,0.0,10.8,14,10.0,6.0
Japan,Tokyo,35.69,139.69,80.6,25,0.0,39.8,14,10.0,6.0
Jordan,Amman,31.95,35.93,71.6,0,0.0,17.3,14,10.0,6.0
Kazakhstan,Astana,51.18,71.43,55.4,37,0.0,26.1,14,10.0,6.0
Kenya,Nairobi,-1.28,36.82,66.2,75,0.0,7.1,14,10.0,6.0
Kiribati,Tarawa,-0.88,169.53,83.9,46,0.0,0.5,14,10.0,6.0
Kuwait,Kuwait City,29.37,47.96,91.9,0,0.0,33.0,14,10.0,6.0
Kyrghyzstan,Bishkek,42.87,74.6,62.8,54,0.05,4.3,14,10.0,6.0
Indonesia,Laos,-8.18,114.32,67.2,86,0.01,17.2,14,2.0,1.0
Latvia,Riga,56.95,24.1,59.0,0,0.0,1.9,14,10.0,6.0
Lebanon,Beirut,33.87,35.51,75.5,61,0.01,17.8,14,10.0,6.0
Lesotho,Maseru,-29.32,27.48,48.2,2,0.0,36.2,14,10.0,6.0
Liberia,Monrovia,6.31,-10.8,77.0,75,1.81,5.2,14,10.0,6.0
Thailand,Nan,18.78,100.78,75.2,25,0.0,11.0,14,5.0,3.0
Liechtenstein,Vaduz,47.13,9.52,62.6,75,0.0,4.0,14,10.0,6.0
Lithuania,Vilnius,54.68,25.32,64.4,75,0.04,7.3,14,10.0,6.0
Luxembourg,Luxembourg,49.61,6.13,60.8,75,0.0,1.6,14,10.0,6.0
Madagascar,Antananarivo,-18.92,47.52,60.8,75,0.0,4.1,14,10.0,6.0
Malawi,Lilongwe,-13.98,33.78,69.9,3,0.0,7.0,14,10.0,6.0
Malaysia,Kuala Lumpur,3.17,101.7,77.0,25,0.0,86.6,14,10.0,6.0
Maldives,Farukolhufunadhoo,6.15,73.27,81.3,56,1.03,0.5,14,10.0,6.0
Mali,Bamako,12.65,-8.0,80.6,25,0.0,30.1,14,10.0,6.0
Malta,Valletta,35.9,14.51,78.8,0,0.0,10.0,14,10.0,6.0
Marshall Islands,Majuro,7.1,171.38,86.0,100,1.13,0.5,14,24.0,14.0
Mauritania,Nouakchott,18.09,-15.98,81.3,3,0.0,58.1,14,10.0,6.0
Mauritius,Port Louis,-20.16,57.5,73.4,75,0.01,7.9,14,10.0,6.0
Mexico,Mexico City,19.43,-99.13,71.6,75,0.0,19.6,14,8.0,4.0
Micronesia,Palikir,6.92,158.15,82.4,100,0.49,0.5,14,24.0,14.0
Russia,Chi-Chi-Erh,51.7,94.45,49.4,76,0.03,1.0,14,10.0,6.0
Monaco,Monaco,43.73,7.42,73.4,75,0.0,15.1,14,10.0,6.0
Mongolia,Ulaanbaatar,47.92,106.92,32.0,0,0.0,3.0,14,10.0,6.0
Montenegro,Podgorica,42.44,19.26,71.6,0,0.0,6.9,14,10.0,6.0
Morocco,Rabat,34.03,-6.84,62.6,50,0.0,4.3,14,5.0,3.0
Mozambique,Maputo,-25.97,32.59,69.4,24,0.0,14.6,14,10.0,6.0
Myanmar,Pathein,16.78,94.73,76.6,61,0.0,3.6,14,2.0,1.0
Namibia,Windhoek,-22.57,17.08,66.2,0,0.0,28.4,14,10.0,6.0
Turkey,Yaren,39.55,27.62,66.2,0,0.0,7.2,14,10.0,6.0
Nepal,Kathmandu,27.72,85.32,69.8,75,0.0,35.5,14,7.0,4.0
Netherlands,Amsterdam,52.37,4.89,62.6,75,0.04,3.5,14,10.0,6.0
New Zealand,Wellington,-41.3,174.78,60.8,75,0.01,5.2,14,10.0,6.0
Nicaragua,Managua,12.15,-86.27,87.8,50,0.04,1.5,14,10.0,6.0
Niger,Niamey,13.52,2.12,73.4,50,0.0,172.0,14,8.0,4.0
Nigeria,Abuja,9.18,7.18,75.2,25,0.0,24.0,14,10.0,6.0
North Korea,Pyongyang,39.02,125.75,64.9,80,0.01,12.0,14,10.0,6.0
Macedonia,Skopje,42.0,21.43,71.6,0,0.0,22.3,14,10.0,6.0
Norway,Oslo,59.92,10.75,53.6,25,0.0,0.8,14,10.0,6.0
Oman,Muscat,23.61,58.59,87.8,0,0.0,33.0,14,10.0,6.0
Pakistan,Islamabad,33.7,73.17,76.5,83,0.53,167.6,14,9.0,5.0
Palau,Adkip,7.36,134.51,78.8,100,0.01,0.6,14,21.0,13.0
Bolivia,National,-11.18,-67.08,87.5,84,0.12,4.3,14,10.0,6.0
Panama,Panama City,8.97,-79.53,77.0,75,2.02,2.3,14,7.0,4.0
Papua New Guinea,Port Moresby,-9.46,147.19,77.0,75,0.0,11.6,14,5.0,3.0
Paraguay,Carreria,-21.55,-58.12,92.5,9,0.0,17.0,14,10.0,6.0
Peru,Lima,-12.05,-77.05,67.9,21,0.0,10.2,14,10.0,6.0
Philippines,Manila,14.6,120.98,80.6,25,0.0,72.7,14,10.0,6.0
Poland,Warsaw,52.25,21.0,53.6,0,0.0,7.1,14,10.0,6.0
Portugal,Lisbon,38.72,-9.13,64.4,25,0.0,3.1,14,10.0,6.0
Qatar,Doha,25.29,51.53,89.6,0,0.0,51.6,14,10.0,6.0
Romania,Bucharest,44.43,26.1,60.8,0,0.0,16.6,14,10.0,6.0
Russia,Moscow,55.75,37.62,60.8,0,0.0,6.6,14,10.0,6.0
Rwanda,Kigali,-1.95,30.06,66.2,75,0.51,27.2,14,10.0,6.0
Saint Kitts and Nevis,Basseterre,17.3,-62.72,86.0,25,0.04,1.3,14,10.0,6.0
Saint Lucia,Castries,14.0,-61.0,86.0,25,0.11,0.8,14,10.0,6.0
